key,kind,tier,title,url,bytes,sha256,extracted_to
bacchelli2013,pdf,1,"Expectations, Outcomes, and Challenges of Modern Code Review",https://sback.it/publications/icse2013.pdf,526615,328720358c303075b6550363712615e89be9d6843f4d6c0cd3316fa66de20a6d,bacchelli2013.txt (80296 B)
bosu2015,pdf,1,Characteristics of Useful Code Reviews: An Empirical Study at Microsoft,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/bosu2015useful.pdf,1461595,f8e2cb4e6ecdc4a2c325674b2129b068e0136c5e89a83b091c0455ac4a7fb8a4,bosu2015.txt (90476 B)
gousios2015,pdf,1,Work Practices and Challenges in Pull-Based Development: The Integrator's Perspective,https://azaidman.github.io/publications/gousiosICSE2015.pdf,629863,2a04fcae26d940020179013a50a1bb096993c2debd85be85a363247176839657,gousios2015.txt (87304 B)
gousios2016,pdf,2,Work Practices and Challenges in Pull-Based Development: The Contributor's Perspective,https://sback.it/publications/icse2016b.pdf,607232,c962df1e01f1296e150b8998c48ed530b69ac794285f1084ebf1ee8b2bdb2733,gousios2016.txt (106530 B)
yu2015,pdf,1,Wait For It: Determinants of Pull Request Evaluation Latency on GitHub,https://yuyue.github.io/res/paper/msr2015.pdf,192730,0d2001b86af7663cb78668b339f6c8ae6ddc44635bb9060e0bced11d93ee9876,yu2015.txt (39376 B)
thongtanunam2016,pdf,2,Review Participation in Modern Code Review,https://sailresearch.github.io/sail-website/data/pdfs/EMSE2016_ReviewParticipationInModernCodeReviewAnEmpiricalStudyOfTheAndroidQtAndOpenStackProjects.pdf,820149,53706eae8ecdf994490ca1dd7dab27ba08f0d7f87bb29fea714eb2693da749bc,thongtanunam2016.txt (200891 B)
wang2021,pdf,1,Are You Still Working on This? An Empirical Study on Pull Request Abandonment,https://whystar.github.io/res/paper/abPR_TSE2021.pdf,970520,f3aab86087274f901b436917d29af1acc6a041feabe702bcac9ec0c97f642896,wang2021.txt (134610 B)
2201.05425,arxiv,1,Interpersonal Conflicts During Code Review: Developers' Experience and Practices,https://arxiv.org/e-print/2201.05425,171589,f8b6a21f7251591797a304ef182dad4b3a344f03c34592a6f8f73c20bfaf845b,7 tex -> 2201.05425.txt
1901.05771,arxiv,1,Time Pressure in Software Engineering: A Systematic Review,https://arxiv.org/e-print/1901.05771,162513,da0b15d28fdff3b0abb9a9c23dfe938bcda8183e2b54523cb080dc794bdb77ae,13 tex -> 1901.05771.txt
potdar2014,pdf,1,An Exploratory Study on Self-Admitted Technical Debt,http://users.encs.concordia.ca/~eshihab/pubs/Potdar_ICSME2014.pdf,721290,31ac2cffdfa19adbddc581b25912263ce50c79677274e9d9f5b90c2abeecaaa1,potdar2014.txt (65555 B)
maldonado2017,pdf,1,An Empirical Study on the Removal of Self-Admitted Technical Debt,https://pure.tue.nl/ws/files/125006035/ICSME2017.pdf,818129,37d246d4d0e841f215f60dcca4596515689cd64f6e2b43e6fffd72f178957914,maldonado2017.txt (111878 B)
2601.15195,arxiv,1,Where Do AI Coding Agents Fail? An Empirical Study of Failed Agentic Pull Requests in GitHub,https://arxiv.org/e-print/2601.15195,1284547,1b5b7a6c91b1bc61c9d424546e423e12425570d3007d6b8d5b295dc1bfe18625,5 tex -> 2601.15195.txt
